Date,Sales,States,County
03/01/2021,5514,Alabama,Baldwin
03/01/2021,6154,Alaska,Bethel
03/01/2021,7654,Arizona,Gila
03/01/2021,3187,Arkansas,Benton
03/01/2021,9517,California,Butte
03/01/2021,8409,Colorado,Archuleta
03/01/2021,9375,Delaware,Kent
03/01/2021,9053,Florida,Bay
03/01/2021,4360,Georgia,Bacon
03/01/2021,4856,Idaho,Boise
03/01/2021,7635,Illinois,Carroll
03/01/2021,8063,Indiana,Carroll
03/01/2021,4034,Iowa,Boone
03/01/2021,3708,Kansas,Butler
03/01/2021,5701,Kentucky,Boone
03/01/2021,1474,Louisiana,Bossier
03/01/2021,7985,Maine,Lincoln
03/01/2021,5964,Maryland,Charles
03/01/2021,7455,Massachusetts,Hampshire
03/01/2021,7550,Michigan,Barry
03/01/2021,5614,Minnesota,Brown
03/01/2021,9766,Mississippi,Carroll
03/01/2021,3517,Missouri,Benton
03/01/2021,5330,Montana,Chouteau
03/01/2021,1644,Nebraska,Boyd
03/01/2021,6157,Nevada,Lander
03/01/2021,5003,New Hampshire,Rockingham
03/01/2021,6936,New Jersey,Gloucester
03/01/2021,7615,New Mexico,Doña Ana
03/01/2021,9945,New York,Chemung
03/01/2021,8459,North Carolina,Bertie
03/01/2021,7313,North Dakota,Burleigh
03/01/2021,6555,Ohio,Brown
03/01/2021,5054,Oklahoma,Caddo
03/01/2021,1758,Oregon,Curry
03/01/2021,5675,Pennsylvania,Bradford
03/01/2021,7450,Rhode Island,Newport
03/01/2021,5855,South Carolina,Allendale
03/01/2021,6598,South Dakota,Bon Homme
03/01/2021,1451,Tennessee,Bledsoe
03/01/2021,6058,Texas,Aransas
03/01/2021,4641,Utah,Carbon
03/01/2021,8194,Virginia,Amelia
03/01/2021,9477,Washington,Chelan
03/01/2021,9380,West Virginia,Braxton
03/01/2021,5395,Wisconsin,Bayfield
03/01/2021,5753,Wyoming,Carbon
09/01/2021,5845,Alabama,Blount
09/01/2021,3413,Alaska,Bristol Bay
09/01/2021,3508,Arizona,Graham
09/01/2021,5605,Arkansas,Boone
09/01/2021,3517,California,Calaveras
09/01/2021,4478,Colorado,Baca
09/01/2021,7703,Delaware,New Castle
09/01/2021,5656,Florida,Bradford
09/01/2021,5015,Georgia,Baker
09/01/2021,4307,Idaho,Bonner
09/01/2021,8675,Illinois,Cass
09/01/2021,9105,Indiana,Cass
09/01/2021,5539,Iowa,Bremer
09/01/2021,9054,Kansas,Chase
09/01/2021,7187,Kentucky,Bourbon
09/01/2021,8449,Louisiana,Caddo
09/01/2021,4094,Maine,Oxford
09/01/2021,7997,Maryland,Dorchester
09/01/2021,1538,Massachusetts,Middlesex
09/01/2021,9550,Michigan,Bay
09/01/2021,5177,Minnesota,Carlton
09/01/2021,8745,Mississippi,Chickasaw
09/01/2021,5050,Missouri,Bollinger
09/01/2021,8419,Montana,Custer
09/01/2021,5375,Nebraska,Brown
09/01/2021,5780,Nevada,Lincoln
09/01/2021,8478,New Hampshire,Strafford
09/01/2021,7543,New Jersey,Hudson
09/01/2021,7155,New Mexico,Eddy
09/01/2021,3411,New York,Chenango
09/01/2021,9553,North Carolina,Bladen
09/01/2021,7745,North Dakota,Cass
09/01/2021,6051,Ohio,Butler
09/01/2021,4164,Oklahoma,Canadian
09/01/2021,4535,Oregon,Deschutes
09/01/2021,5660,Pennsylvania,Bucks
09/01/2021,3919,Rhode Island,Providence
09/01/2021,3670,South Carolina,Anderson
09/01/2021,5665,South Dakota,Brookings
09/01/2021,6869,Tennessee,Blount
09/01/2021,4510,Texas,Archer
09/01/2021,3338,Utah,Daggett
09/01/2021,5595,Virginia,Amherst
09/01/2021,4537,Washington,Clallam
09/01/2021,5980,West Virginia,Brooke
09/01/2021,5505,Wisconsin,Brown
09/01/2021,5531,Wyoming,Converse
15/01/2021,4187,Alabama,Bullock
15/01/2021,1745,Alaska,Denali
15/01/2021,5157,Arizona,Greenlee
15/01/2021,1650,Arkansas,Bradley
15/01/2021,5783,California,Colusa
15/01/2021,5781,Colorado,Bent
15/01/2021,5693,Delaware,Sussex
15/01/2021,8347,Florida,Brevard
15/01/2021,3806,Georgia,Baldwin
15/01/2021,9845,Idaho,Bonneville
15/01/2021,6383,Illinois,Champaign
15/01/2021,7388,Indiana,Clark
15/01/2021,7951,Iowa,Buchanan
15/01/2021,5973,Kansas,Chautauqua
15/01/2021,3596,Kentucky,Boyd
15/01/2021,4360,Louisiana,Calcasieu
15/01/2021,5531,Maine,Penobscot
15/01/2021,1057,Maryland,Frederick
15/01/2021,5571,Massachusetts,Nantucket
15/01/2021,9405,Michigan,Benzie
15/01/2021,5087,Minnesota,Carver
15/01/2021,7331,Mississippi,Choctaw
15/01/2021,8353,Missouri,Boone
15/01/2021,6886,Montana,Daniels
15/01/2021,3513,Nebraska,Buffalo
15/01/2021,6155,Nevada,Lyon
15/01/2021,8571,New Hampshire,Sullivan
15/01/2021,6353,New Jersey,Hunterdon
15/01/2021,5158,New Mexico,Grant
15/01/2021,5356,New York,Clinton
15/01/2021,1880,North Carolina,Brunswick
15/01/2021,4601,North Dakota,Cavalier
15/01/2021,5154,Ohio,Carroll
15/01/2021,7653,Oklahoma,Carter
